#  FIFO    SPPIFO  Greedy
0   0   0   0
1   27439   1741   1363
2   31913   3096   2334
3   32628   4165   222
4   32000   4920   1450
5   30933   5152   2575
6   29621   5098   1648
7   27694   4829   876
8   25472   4756   2002
9   23699   4105   2833
10   21588   3675   1712
11   19364   3276   724
12   17387   2833   1462
13   15247   2563   1915
14   13403   2169   2100
15   11644   1841   1856
16   10188   1539   630
17   8749   1289   383
18   7349   1022   562
19   6225   801   614
20   5147   691   610
21   4251   505   547
22   3405   439   520
23   2877   315   459
24   2300   247   370
25   1820   198   320
26   1430   163   283
27   1116   132   225
28   879   75   161
29   696   55   120
30   520   41   100
31   425   45   67
32   320   30   55
33   230   17   43
34   161   5   32
35   137   7   13
36   89   5   19
37   71   4   10
38   49   3   8
39   29   3   5
40   26   0   7
41   28   1   3
42   16   3   1
43   9   2   2
44   6   0   3
45   3   1   1
46   4   0   0
47   2   1   0
48   3   0   0
49   0   0   1
50   1   0   0
51   0   0   0
52   1   0   0
53   1   0   0
54   0   0   0
55   0   0   0
56   0   0   0
57   1   0   0
58   1   0   1
59   3   0   0
60   2   0   0
61   10   0   1
62   9   0   2
63   14   1   5
64   27   0   1
65   42   1   9
66   65   1   3
67   89   1   3
68   137   1   7
69   178   3   4
70   289   7   8
71   444   6   4
72   528   10   13
73   756   23   14
74   1012   22   23
75   1383   34   44
76   1822   55   78
77   2382   60   121
78   2940   116   182
79   3819   185   328
80   4749   216   438
81   5803   366   705
82   7096   557   1103
83   8813   842   1617
84   10407   1152   2229
85   12189   1741   3182
86   14223   2465   4044
87   16214   3480   4395
88   18766   4670   4199
89   20592   5965   3998
90   22930   7714   7990
91   25273   9755   11429
92   27738   11911   13430
93   29969   14304   13554
94   31924   16736   10771
95   33284   18752   7664
96   34874   21095   16014
97   35824   22478   20865
98   36743   23882   23453
99   36723   24610   24558
